sampledSeconds_0,sampledSeconds_1,sampledSeconds_2,sampledSeconds_3,traveltime_0,traveltime_1,traveltime_2,traveltime_3,overlapTraveltime_0,overlapTraveltime_1,overlapTraveltime_2,overlapTraveltime_3,density_0,density_1,density_2,density_3,laneDensity_0,laneDensity_1,laneDensity_2,laneDensity_3,occupancy_0,occupancy_1,occupancy_2,occupancy_3,waitingTime_0,waitingTime_1,waitingTime_2,waitingTime_3,timeLoss_0,timeLoss_1,timeLoss_2,timeLoss_3,speed_0,speed_1,speed_2,speed_3,speedRelative_0,speedRelative_1,speedRelative_2,speedRelative_3,entered_0,entered_1,entered_2,entered_3,left_0,left_1,left_2,left_3,Avg_Vehicle_on_the_lane_0,Avg_Vehicle_on_the_lane_1,Avg_Vehicle_on_the_lane_2,Avg_Vehicle_on_the_lane_3,Avg_Volume_0,Avg_Volume_1,Avg_Volume_2,Avg_Volume_3,Total_travelled_distance_0,Total_travelled_distance_1,Total_travelled_distance_2,Total_travelled_distance_3,Avg_waitingtime_0,Avg_waitingtime_1,Avg_waitingtime_2,Avg_waitingtime_3,Prev_lat_sig_0,Prev_lat_sig_1,Prev_lat_sig_2,Prev_lat_sig_3,Prev_lon_sig_0,Prev_lon_sig_1,Prev_lon_sig_2,Prev_lon_sig_3,Next_lat_sig_0,Next_lat_sig_1,Next_lat_sig_2,Next_lat_sig_3,Next_lon_sig_0,Next_lon_sig_1,Next_lon_sig_2,Next_lon_sig_3,Prev_include_edge_cnt_0,Prev_include_edge_cnt_1,Prev_include_edge_cnt_2,Prev_include_edge_cnt_3,Next_include_edge_cnt_0,Next_include_edge_cnt_1,Next_include_edge_cnt_2,Next_include_edge_cnt_3,Green_time_0,Green_time_1,Green_time_2,Green_time_3,Length_0,Length_1,Length_2,Length_3,Speed_limit_0,Speed_limit_1,Speed_limit_2,Speed_limit_3,priority_0,priority_1,priority_2,priority_3,time
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,213389.93,213283.12,213385.29,0,452295.98,452440.1,452459.55,0,213385.29,213517.96,213385.89,0,452459.55,452439.18,452331.24,0,2,3,4,-1,4,3,2,-1,38,37,38,-1,87.56,51,15.35,-1,13.89,13.89,13.89,-1,6,8,6,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211748.74,211644.12,211775.72,211876.01,451769.58,451841.31,451853.73,451748.32,211775.72,212021.04,211748.74,211644.12,451853.73,451702.13,451769.58,451841.31,2,3,3,4,2,3,2,2,29,29,29,29,11.33,106.25,42.92,104.53,8.33,13.89,22.22,13.89,5,7,6,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211785.99,211732.56,211736.94,211841.83,451141.95,451158.93,451276.89,451199.27,211736.94,211841.83,211785.99,211318.99,451276.89,451199.27,451141.95,451077.68,2,3,2,3,2,2,2,2,37,38,37,38,23.38,34.45,92.36,57.17,8.33,13.89,8.33,13.89,5,6,5,6,0
0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,213617.16,213517.45,0,213621.13,452036.04,452080.24,0,452132.51,0,213665.4,211805.72,213494.63,0,452155.71,452496.12,452087.44,4,5,-1,4,-1,3,2,4,37,38,-1,38,58.66,37.37,-1,26.84,13.89,13.89,-1,13.89,6,7,-1,7,0
-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,213281.6,213399.22,213494.63,0,452005.7,452105.64,452087.44,213399.22,213484.54,0,213281.6,452105.64,452072.34,0,452005.7,-1,4,3,4,2,3,-1,3,-1,38,37,38,-1,115.99,26.81,64.56,-1,13.89,13.89,13.89,-1,7,6,7,0
-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,212651.04,212671.78,212801.8,0,451704.74,451811.25,451707.22,212671.78,212801.8,0,212651.04,451811.25,451707.22,0,451704.74,-1,2,2,2,2,2,-1,3,-1,38,37,38,-1,63.67,106.63,49.17,-1,13.89,8.33,13.89,-1,7,4,7,0
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,213001.95,212954.11,213124.36,0,451493.45,451613.82,451697.44,0,213124.36,0,212989.38,212965.6,451697.44,0,451522.35,451626.45,5,5,3,-1,3,-1,3,3,36,15,36,-1,44.56,24.71,83.82,-1,13.89,13.89,13.89,-1,7,7,7,-1,0
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,213023.53,212969.58,212989.38,0,451299.65,451449.54,451522.35,0,213001.95,0,213023.53,212893.09,451493.45,0,451299.65,451433.2,4,3,3,-1,3,-1,4,2,38,37,38,-1,143.76,8.93,49.75,-1,13.89,13.89,13.89,-1,7,6,7,-1,0
0,-1,0,1,0,-1,0,21.86,0,-1,0,24.37,0,-1,0,2.87,0,-1,0,0.72,0,-1,0,0.36,0,-1,0,0,0,-1,0,0.84,0,-1,0,1.99,0,-1,0,0.14,0,-1,0,0,0,-1,0,0,0,-1,0,0.125,0,-1,0,20.56068,0,-1,0,1.99,0,-1,0,0,213046.77,0,212989.97,213098.26,451255.58,0,451459.17,451297.86,212989.97,213098.26,213067.1,212975.57,451459.17,451297.86,451176.18,451424.61,4,-1,4,4,4,2,3,2,38,-1,38,37,24.32,-1,143.49,43.58,13.89,-1,13.89,13.89,7,-1,7,6,0
8,0,0,-1,7.65,0,0,-1,8.12,0,0,-1,25.27,0,0,-1,8.42,0,0,-1,4.11,0,0,-1,0,0,0,-1,4.68,0,0,-1,5.49,0,0,-1,0.4,0,0,-1,0,0,0,-1,1,0,0,-1,1,0,0,-1,499.43628,0,0,-1,43.92,0,0,-1,0,0,0,-1,213095.72,213001.5,213023.53,0,451124.24,451125.4,451299.65,0,213046.77,0,213095.72,213001.5,451255.58,0,451124.24,451125.4,3,2,3,-1,3,-1,3,2,38,37,38,-1,39.58,70,105.66,-1,13.89,13.89,13.89,-1,7,5,7,-1,0
