id,shape
-201950259#3,"212559.56,452908.00 212615.17,452851.47 212626.31,452839.95 212631.13,452834.59 212650.04,452813.68 212668.80,452791.37"
-201950259#6,"212484.19,453008.69 212493.08,452996.37 212517.90,452960.71 212520.75,452956.85 212536.15,452934.92 212553.43,452913.74 212559.56,452908.00"
-201950263#10,"212991.19,453340.21 212960.63,453320.89 212859.85,453255.34 212822.78,453231.04 212800.28,453216.28 212791.05,453210.35 212753.90,453185.88"
-201950263#6,"212753.90,453185.88 212690.28,453144.20 212685.93,453141.35 212635.29,453107.65 212616.33,453095.02 212583.25,453073.59 212516.71,453031.16 212501.11,453020.37 212484.19,453008.69"
-201963522#0,"211685.52,451514.21 211694.37,451554.17"
-201963522#1,"211675.05,451458.20 211683.23,451504.43 211685.52,451514.21"
-201963522#2,"211676.57,451401.65 211674.09,451427.14 211675.05,451458.20"
-201963522#3,"211692.46,451348.01 211686.38,451363.50 211681.82,451377.14 211676.57,451401.65"
-201963522#4,"211717.25,451306.45 211699.45,451334.23 211692.46,451348.01"
-201963522#9,"211776.71,451176.17 211774.72,451183.22 211767.37,451212.20 211759.59,451235.84 211758.52,451238.31 211752.78,451250.58 211744.97,451265.06 211736.94,451276.89"
-201963533#1,"212014.37,451702.41 211899.76,451740.44"
-201963533#1.145,"211876.01,451748.32 211875.77,451748.40 211789.37,451783.39 211771.33,451790.69"
-201963533#4,"212075.14,451684.91 212027.60,451698.42"
-201963533#5,"212151.02,451665.85 212127.08,451670.05 212075.14,451684.91"
-218647947#1,"212582.30,451989.92 212569.94,451995.66 212531.49,452003.80 212498.04,452008.25 212466.15,452011.42 212453.20,452012.70 212408.74,451990.43 212393.04,451999.28 212365.91,452026.50 212337.95,452079.80"
-224251776#1,"211730.78,452677.54 211743.90,452682.29 211756.59,452687.56"
-224892339#3,"212060.38,452807.52 212062.04,452799.35 212068.12,452772.23 212069.32,452755.06 212062.12,452734.29 212035.45,452692.52 212020.76,452674.72 212012.47,452671.07 212007.83,452669.03"
-224892361#1,"211987.12,452728.88 211971.14,452772.70"
-224892361#6,"211987.98,452434.73 212000.00,452442.04 212010.79,452453.88 212015.88,452466.50 212018.89,452476.79 212020.78,452489.00 212021.57,452502.20 212020.86,452514.15 212019.77,452524.63 212016.52,452560.01 212013.24,452594.98 212012.77,452633.38 212007.83,452669.03"
-224892361#8,"211854.06,452380.69 211867.28,452385.80 211987.98,452434.73"
-22690205#1,"212671.78,451811.25 212704.67,451777.27 212716.23,451763.55 212728.81,451748.60 212735.76,451737.14 212738.57,451727.69 212743.37,451715.68"
-22690205#2,"212645.45,451851.20 212656.57,451831.72 212671.78,451811.25"
-22690205#3,"212595.11,451987.44 212598.01,451980.04 212606.02,451945.91 212619.76,451896.52 212629.45,451875.38 212645.45,451851.20"
-22690206#1,"212812.28,451802.19 212807.61,451817.62 212791.95,451872.95 212787.59,451878.08 212779.95,451878.75 212724.94,451867.07"
-22716069#0,"212674.36,451614.37 212658.56,451663.39 212651.95,451684.51 212651.04,451704.74"
-22716069#1,"212703.76,451528.74 212691.88,451564.27 212674.36,451614.37"
-22716069#2,"212729.79,451411.84 212715.52,451486.08 212703.76,451528.74"
-22716072#3,"212081.51,451658.98 212057.94,451665.49 212014.77,451678.01 211930.68,451702.29 211855.73,451725.01 211768.72,451761.92 211757.30,451766.30 211748.74,451769.58"
-22716072#5,"212145.37,451643.22 212135.82,451645.51 212081.51,451658.98"
-22716073,"212138.66,451615.50 212079.29,451629.77 212076.46,451632.07 212075.75,451635.25 212081.51,451658.98"
-22716549#6,"212917.39,451758.97 212923.09,451758.65 212935.16,451759.59 212974.37,451767.41 212998.81,451773.02 213023.12,451777.51 213089.33,451793.79 213120.28,451801.73 213162.47,451809.73 213183.24,451812.16 213191.28,451809.71"
-22724699#1,"212574.83,452585.22 212604.47,452604.68 212618.68,452614.64 212628.08,452625.24"
-22724699#11,"212275.97,452434.88 212296.46,452435.34 212316.49,452435.80 212333.37,452436.18 212351.43,452436.59 212380.98,452437.25"
-22724699#2,"212501.65,452519.66 212519.06,452540.01 212531.88,452554.15 212544.85,452565.20 212558.92,452575.09 212574.83,452585.22"
-22724699#6,"212380.98,452437.25 212401.87,452441.53 212415.59,452446.77 212434.68,452455.08 212447.66,452463.10 212458.65,452471.58 212473.23,452484.73 212489.07,452503.91 212501.65,452519.66"
