TLINKIDP1,LENGTH,geometry
10194402,325,"LINESTRING (127.32613249417633 36.28604691749647, 127.32672413429972 36.28605465818029, 127.32700788809368 36.28606402323841, 127.32722443864074 36.286089832291054, 127.32742006065487 36.286133257435196, 127.3276123700432 36.28619520968793, 127.32793116492232 36.286311370408214, 127.3281515253351 36.28641457586119, 127.32828787746953 36.28649542279292, 127.32846085323281 36.28661412632656, 127.3286593485084 36.286790320588594, 127.32877755378853 36.286920601841196, 127.32883455876193 36.28699589207957, 127.32892490637406 36.28712711226246, 127.32901525425743 36.28728844867524, 127.32905720158928 36.28737449479889)"
10194432,296,"LINESTRING (127.38314836001011 36.28081776490688, 127.3806141311764 36.280848685827806, 127.3798496822704 36.2809261075611)"
10194442,668,"MULTILINESTRING ((127.38442526692604 36.28080549111213, 127.38314836001011 36.28081776490688), (127.39096783368781 36.279908781225416, 127.39068456694366 36.28003389269108, 127.3904509030464 36.28012506171169, 127.39010434168114 36.280250842285355, 127.38976963535792 36.28035553155641, 127.38944698407099 36.28044936518996, 127.38897630291021 36.28055320997033, 127.38868393800406 36.280605982607675, 127.38828416196516 36.28067185021462, 127.3879410589785 36.28070861424309, 127.38750145816904 36.2807438470954, 127.38723494053637 36.28075763442524, 127.38692400327739 36.280771422019, 127.38647214852763 36.280779083451776, 127.38563736597861 36.28078827890914, 127.38497696423721 36.28080247662034))"
10194451,31,"LINESTRING (127.37500003052878 36.28166367723892, 127.37510918974796 36.281626070443615, 127.37532012866271 36.28155650609603)"
10194452,1784,"LINESTRING (127.3798496822704 36.2809261075611, 127.3797964531366 36.28093089687217, 127.37932493416142 36.280973321966975, 127.37897807016705 36.281020913947145, 127.37844992202913 36.28110173772635, 127.37805150529675 36.28116848693286, 127.37777821737613 36.28122142742464, 127.37731613629646 36.281318983243445, 127.37677704184424 36.2814483726283, 127.3763432711616 36.2815653504688, 127.37582067841267 36.2817216296049, 127.37538299567518 36.28186506603061, 127.37506405741745 36.281973567481565, 127.37500003052665 36.28199595187671, 127.37493775541371 36.28201772383402, 127.37320888144252 36.28261401992107, 127.37182361789277 36.28309565195163, 127.37017241979044 36.28366324970935, 127.36804667081631 36.2844025285186, 127.36684501680492 36.284809456360755, 127.36606576889889 36.28505456531629, 127.36493704991247 36.285380273929334, 127.36411115558013 36.28559439609388, 127.36361102598312 36.28571359469365, 127.36273253872645 36.285906814875595, 127.36173527394807 36.2861013940833, 127.3611317833751 36.286205155021015)"
10194491,661,"LINESTRING (127.47637754533163 36.261867811939716, 127.47586271314879 36.262505505001556, 127.47504965139228 36.26333387411819, 127.47450131806589 36.26377331067837, 127.47433413100178 36.26391319308632, 127.47387873141399 36.26425300910878, 127.47346013927786 36.26451971114966, 127.47266477707748 36.265017199007715, 127.47109541855295 36.26600324990199)"
10194492,526,"LINESTRING (127.47638610752816 36.26161812862028, 127.47677026037421 36.26106294840246, 127.47732468520836 36.260031589713314, 127.47755569405693 36.259528719412344, 127.47768439603172 36.259152577974135, 127.47781969273436 36.258580951806, 127.47787011502793 36.25836491674935, 127.47791026907657 36.25815190979855, 127.47797930192938 36.25762194895769, 127.47800542108787 36.25739495820554, 127.47802392859357 36.257117523146164)"
10194501,642,"LINESTRING (127.46691845289962 36.26861354831962, 127.46522179223726 36.269659616012994, 127.46483155116603 36.26990918194786, 127.46382559028018 36.2705374074617, 127.46326498719739 36.270888181456606, 127.46271675191316 36.2712219680272, 127.46212999565772 36.27159279302834, 127.46157245593973 36.271937440007214, 127.4612502602661 36.27213802977352)"
10194502,156,"MULTILINESTRING ((127.47439798473232 36.26369853873279, 127.47451208404928 36.26361289240594, 127.47466699410309 36.2634799419112, 127.47479647116421 36.26336895714943, 127.47493677799577 36.263242041496554, 127.47506582587198 36.26312477504385, 127.47529085188506 36.262898389924494, 127.47537768469513 36.26281291149547), (127.47624883166455 36.261805798289764, 127.47638610752816 36.26161812862028))"
10194521,350,"LINESTRING (127.4765728029582 36.249999961022894, 127.47655924083976 36.24994503518524, 127.47642529210613 36.24933946558235, 127.47627439575984 36.24844048799428, 127.47617529473641 36.247713948695065, 127.47615104719323 36.247474316534515, 127.47610918580253 36.246864631185055)"
10194522,1281,"MULTILINESTRING ((127.47627109426848 36.244618299153224, 127.4762257787822 36.24542559174146, 127.47622232197646 36.24570564770858, 127.47622894235553 36.24607620849018, 127.47624119278625 36.24667453789079, 127.4762576998425 36.24686732555399), (127.47672413734274 36.24999996101851, 127.47674209483559 36.250079952120736, 127.47695226469206 36.250878386377764, 127.4770340162129 36.25118896000493, 127.47729483144198 36.25218544501671, 127.47753498304617 36.253107010790224, 127.47778080013744 36.254021306301944, 127.47793839693738 36.25465508469899, 127.47802219704839 36.25500911413984, 127.47809683409865 36.25545724127754, 127.47815625320574 36.25596280324966, 127.47819054774529 36.256584526013526, 127.47817784689946 36.25699743672524, 127.4781397382285 36.25756598313711, 127.47810327487966 36.257893131118024, 127.47808208203323 36.25805498288798, 127.47796377722572 36.258595160085086, 127.47781970892369 36.25917145024705))"
10194531,1477,"MULTILINESTRING ((127.46332248822829 36.304201456175825, 127.46346657643878 36.30450014001035, 127.46356919657715 36.3046908142336, 127.46376208937873 36.30502239719934, 127.46385215519761 36.30515290172076, 127.46409616668129 36.3055086886706, 127.46422299373886 36.30565757396583, 127.46435117107559 36.305820493740576, 127.46448400025373 36.30597556360635, 127.46472846376432 36.3062365722625, 127.46503571418755 36.3065248550295, 127.46527620831206 36.30673837012673, 127.46557294105816 36.30698331109412, 127.46570471623018 36.30708558539259, 127.466114366764 36.30739824279956, 127.46656942396584 36.30773709697032, 127.46711040243575 36.30813183456551, 127.46768067244841 36.30855726234268, 127.46810030452984 36.308870312545984, 127.46909352863766 36.30960413419289, 127.46979812056838 36.31012186130749, 127.4703946844934 36.310569690178234, 127.47068651915892 36.310782040025536, 127.47101737105503 36.31102864971503, 127.47193334067524 36.311713336259565, 127.4725429659064 36.312165198713075, 127.47302857211136 36.31255183985322, 127.473442446455 36.3128833928886, 127.47352413848466 36.312966362165234), (127.47381145415223 36.31324098744936, 127.47413395193225 36.313588949531606, 127.47435932383225 36.31385984331317, 127.47465592426887 36.3142245062247))"
10194532,1159,"LINESTRING (127.47235926940563 36.31220684895359, 127.46915686009449 36.30980876809097, 127.46559018489121 36.30716278551352, 127.46492020526621 36.30659229249033, 127.4643591371364 36.30604067893452, 127.46399939033704 36.305603702857226, 127.46370235056484 36.30517886403009, 127.46344161372492 36.30474323423794)"
10194551,355,"LINESTRING (127.47467278357915 36.31424457701302, 127.47499297424095 36.31469837089893, 127.47523498829955 36.315094018007066, 127.47542465081983 36.315450538936915, 127.47572643091911 36.31613058467127, 127.47608222878218 36.31722202600527)"
10194552,389,"LINESTRING (127.47601811710554 36.31756456535244, 127.47579965102256 36.31685053871971, 127.47557131675475 36.31615755084212, 127.47527465110012 36.31553387281389, 127.47504965061981 36.31510053899088, 127.4748371507158 36.314742205927175, 127.47451944620889 36.31428712822333)"
10194561,1905,"MULTILINESTRING ((127.47608222878218 36.31722202600527, 127.47632124958781 36.31805848411418, 127.47662994601168 36.319114121155074, 127.47676613742115 36.319563732028925, 127.47699627403072 36.320210989291226, 127.47717750618244 36.320674137721575, 127.47744791552454 36.32130701121619, 127.47756873639435 36.321554407127586, 127.47777010439613 36.321954267924525, 127.47808152870127 36.3225141900663, 127.47825511281576 36.32283079704931, 127.47846908435537 36.32317143136328, 127.47863697029248 36.32343533475043, 127.47895228554138 36.32390149891833, 127.47950620253651 36.32463868130329, 127.47980638960996 36.32502822325065, 127.48021737409773 36.32552523529956, 127.48069921335522 36.32610609750081, 127.48133438723792 36.32691386751607, 127.48146152564013 36.32709383377189, 127.48167555001027 36.32740451663465, 127.48192173870571 36.327810456289036, 127.48210240309326 36.32813666313166, 127.48229865731899 36.3285464349434, 127.48232693376958 36.32860547516195, 127.4824000684194 36.32876783143944, 127.48255189446431 36.32917336603921, 127.48257240959944 36.32923506990433), (127.48340011874582 36.333333294044806, 127.48341796281045 36.33343627138936, 127.48381138772477 36.335682909907916, 127.48398915214706 36.33669802710006, 127.48409398464646 36.33725418167411))"
10194562,1691,"MULTILINESTRING ((127.48215884352325 36.32858630004247, 127.4819562531833 36.328160249776445, 127.48180078468539 36.3278693056103, 127.48135226850577 36.32716531182948, 127.47943801929159 36.32475212505612, 127.4788802462772 36.32401468728757, 127.47829965026794 36.32315053864253, 127.47793631517321 36.32254654857208, 127.47744784301459 36.32160014343777, 127.47695952823695 36.320523834833864, 127.47664911284708 36.319641268973264, 127.47632845535927 36.318585936075145), (127.48326166948407 36.33333329307661, 127.48312465057634 36.33256720560669, 127.48282465023289 36.33081720587833, 127.48260646031673 36.329791521010975, 127.48242808950296 36.329267858230125))"
10194591,431,"MULTILINESTRING ((127.19528333055649 36.49332396644075, 127.19680508169337 36.492189171625085), (127.19732149742798 36.491785671804244, 127.19937401792858 36.490302075320336))"
10194592,334,"LINESTRING (127.20029295019202 36.48985838093838, 127.19948548671695 36.490390184030225, 127.19875553310693 36.49088273910708, 127.19748530633241 36.49184223918377)"
10194601,718,"MULTILINESTRING ((127.20911785825903 36.486119309822286, 127.21054720522791 36.485819552502655), (127.22360802979237 36.48422125114023, 127.22407028221382 36.484167717373474, 127.22461597609376 36.484102832439426, 127.22478439330531 36.48408436416448, 127.22617431095895 36.48391075249581, 127.22715811674871 36.48375573108929, 127.22837061683654 36.483535183386664, 127.22913764930189 36.48337563378898, 127.23002348740422 36.48317139520841))"
10194602,712,"LINESTRING (127.20916913268758 36.486234565644274, 127.20858963638607 36.486380085321755, 127.2078823183986 36.48656657297683, 127.2075325961498 36.486663479507655, 127.20701765404662 36.486818223531074, 127.20652348589631 36.48697703026147, 127.20547582381491 36.48733536384797, 127.20482699295253 36.48758351119174, 127.20422866002505 36.48783582875005, 127.2038925246673 36.48797487885542, 127.20344614112108 36.48817768274778, 127.2029740970658 36.48839489015196, 127.20209142239337 36.48882866327662, 127.20196022014112 36.48889658066553)"
10194612,3098,"MULTILINESTRING ((127.1716748367106 36.49564385727466, 127.17143249852268 36.4955876349638, 127.17018669309795 36.49531972190907, 127.16664030128933 36.49454760413793, 127.16432425904873 36.49403403361796), (127.19742166896508 36.4918893798451, 127.1969209853841 36.49227587167252, 127.19652262846121 36.492566320540355, 127.19622782511618 36.492775741122145, 127.19511641850046 36.49362821300397, 127.19487524080881 36.49380849081944, 127.19433231929423 36.494225303047806, 127.1938370876421 36.494588549204046, 127.1931928006263 36.4950383606189, 127.19276200909441 36.49530514297275, 127.19234395475203 36.49555676729989, 127.19161680660454 36.49594741794183, 127.19127055770463 36.49611790126887, 127.19047157001721 36.49647652227402, 127.18963950233139 36.496790677781064, 127.18884220258161 36.49704915821992, 127.1881146250348 36.497249418741326, 127.1877692962613 36.49733067680948, 127.18727653900005 36.49743966818389, 127.18684042735691 36.49752210869187, 127.18634404439113 36.49760603657057, 127.18574186287108 36.49768126470415, 127.1853666677634 36.49771947058806, 127.18513926601744 36.49774239642577, 127.18475722472243 36.49776987798666, 127.18422929914728 36.49779720751369, 127.18369577481285 36.49780809198641, 127.18297010014304 36.497796602217115, 127.18266377042764 36.49778339692769, 127.18212562743693 36.49775005218815, 127.18168951469671 36.49771105185396, 127.18115735065355 36.497648934002974, 127.18039270019888 36.497531460067066, 127.17948484026758 36.49735616510532, 127.17712160650073 36.49683897187823, 127.1765581051933 36.49672207593125, 127.17304523721175 36.49594592472673))"
10194641,570,"LINESTRING (127.28355609326418 36.4282592295559, 127.2844388709515 36.42792691968309, 127.28512969066526 36.427675825200986, 127.2859350525247 36.42738192978589, 127.28615140080383 36.42729157773847, 127.28680492313066 36.427018651692805, 127.28715545313244 36.426859350340806, 127.2878497475854 36.4265282221778, 127.28827667950021 36.42629593965405, 127.28883131633087 36.42596436297009, 127.28911641200555 36.42578786806995)"
10194661,381,"LINESTRING (127.29053402009397 36.42476596018371, 127.29121050553893 36.42415375048006, 127.29132033208461 36.42406282291888, 127.2917229315768 36.42371221053539, 127.29237707565017 36.42301654113321, 127.29252423917036 36.422855938666615, 127.29271191229026 36.42259787732985, 127.29307264526405 36.42202662818529)"
10194671,2505,"MULTILINESTRING ((127.29527840152147 36.41696612287025, 127.29538327299576 36.41666662778319, 127.29571831817637 36.41570979575501, 127.29607713374578 36.41467899724304, 127.29684499429035 36.4124573705389), (127.29746772547888 36.410648725835514, 127.29814425772356 36.40870569665377, 127.29870858229667 36.407070542763364, 127.29890712159879 36.40656553688747, 127.2992405950837 36.405823498333355, 127.29935547149157 36.40560777620995, 127.29960052602269 36.40516720264329, 127.29983508219719 36.40477427540621, 127.30025374530103 36.40416567752013, 127.30072420265732 36.403578660724804, 127.30103255653786 36.40322131016044, 127.30134502263307 36.40288432333432, 127.30158090404097 36.40264536895465, 127.30189949732949 36.4023466758394, 127.30247283964725 36.401846440713136, 127.3027025947669 36.40166901165682, 127.30315097473638 36.40133260609043, 127.3035987496176 36.40102340624948, 127.30412141028258 36.400691052430155, 127.30441243389757 36.40051745238539, 127.30463086605785 36.40039225402474, 127.30825119835616 36.39837179694821, 127.30979061228432 36.39751694245099, 127.31054993489326 36.39709480182375))"
10194672,2788,"LINESTRING (127.31063085406322 36.39720410721598, 127.30908657257396 36.39806587923022, 127.30779712285023 36.39877867246596, 127.30643933410306 36.399531032001974, 127.30555002748649 36.400029807343394, 127.30453932914709 36.40059452656285, 127.3042309178338 36.400780687513965, 127.30363346233972 36.40116411074301, 127.30325200830883 36.4014303254601, 127.30289313993032 36.40169639821464, 127.30238476859748 36.40210683871431, 127.30185283023722 36.40258302845167, 127.3015793252737 36.40285029969196, 127.30109975525244 36.4033548676101, 127.30078289211704 36.40372372560152, 127.30033294408472 36.40430655182828, 127.29987439451163 36.40499809583224, 127.29948439118368 36.405677980648655, 127.29920950819665 36.40624278950246, 127.29890738295465 36.40698734950331, 127.29807690120894 36.40936418566448, 127.29761544270497 36.41070367380519, 127.2969892544906 36.41250212731393, 127.29622926869702 36.41471206693651, 127.29566409784674 36.4163562876815, 127.29557051582516 36.41661877277017, 127.29555429465935 36.41666662778559, 127.29553050543643 36.41673388570744, 127.29543386483226 36.416997968357066, 127.29533186933116 36.417314867453904, 127.29518744454114 36.41775396813752)"
10194701,187,"LINESTRING (127.38592940035423 36.409253835675024, 127.3852429302849 36.409088759612544, 127.38479879830157 36.40896045153962, 127.38398230050853 36.408646552654474)"
10194721,689,"LINESTRING (127.37500003118215 36.40485055240564, 127.37440034971353 36.40476695455696, 127.37396752227889 36.40469870198073, 127.37346502695794 36.40460994860803, 127.37293063500306 36.40449241805103, 127.37243141346895 36.40435258625686, 127.37171082021128 36.40414537713282, 127.37119708498902 36.40395085730692, 127.37054691473108 36.40367854169668, 127.37006506338288 36.40346149661991, 127.36946405186568 36.4031511082117, 127.36880432451224 36.40279822683761, 127.3681950456669 36.40243828534519, 127.36804919998177 36.40234596010817)"
10194722,925,"MULTILINESTRING ((127.37500003117894 36.4047396028251, 127.37504742217182 36.40474589939671, 127.37519343579253 36.40476656886654, 127.37614404142249 36.40490548587008, 127.37649120505826 36.4049563514633, 127.37688049355047 36.40502754543029, 127.37728622521816 36.40511704230265, 127.37769143290944 36.40522041133541, 127.3781995106554 36.405375999526804, 127.37859998850558 36.405517810031895, 127.37911766898864 36.40572975966183, 127.37962208093668 36.405974476385964, 127.38016658537448 36.40627579471566, 127.38076727478463 36.406655911356836, 127.38164264441428 36.40721776267103, 127.38215335533575 36.40754826999753, 127.38275462014744 36.407910747601925, 127.38297458425458 36.408026324663645), (127.38402428872043 36.408534350653674, 127.38421342522908 36.408610754768105, 127.38482322064907 36.40883514135926, 127.38512937348963 36.4089244136147))"
10202001,1027,"LINESTRING (127.42363316122514 36.41574810797191, 127.42409965125128 36.41495887015499, 127.42474377884601 36.41406802709646, 127.42483846649588 36.41390155050925, 127.42497497059816 36.413596898576465, 127.42502824019076 36.41344540508056, 127.42521398178559 36.41269868854929, 127.42523281027859 36.41249820533324, 127.42523225179511 36.41239283314772, 127.42522556107313 36.41232871783504, 127.42518932154553 36.412185434177644, 127.42516702040665 36.4121090534133, 127.42513245402398 36.412032115198095, 127.42509454261227 36.41195907967671, 127.42504771099104 36.41188214153545, 127.42499252564096 36.411806686906594, 127.424932492196 36.41173333752061, 127.42481206877773 36.4116168155616, 127.42466546469338 36.41150497696881, 127.42450409788708 36.411411046161824, 127.42434032282661 36.411337989098165, 127.42414363239247 36.411272157754404, 127.42394885988807 36.4112163395446, 127.42376320827715 36.4111622607572, 127.4236600684516 36.411127694840744, 127.42356194618766 36.41108922622037, 127.42347162901898 36.411044624780054, 127.42338075431888 36.41099779324386, 127.42328040180065 36.41093646611976, 127.42321811505916 36.41089411009654, 127.42315307170911 36.41084881159788, 127.42308102894339 36.41078435906686, 127.42300395803659 36.41071852700199, 127.42294695752767 36.41065349765189, 127.42288112588399 36.41057080596908, 127.42282539631033 36.4104852373974, 127.42278237866485 36.410415458386886, 127.422744921821 36.41034193170572, 127.42269220428997 36.41018516710874, 127.42265335928487 36.4100145294269, 127.42262062589371 36.40983061136156, 127.42258016233352 36.40965141867209, 127.42253150251543 36.409488269973565, 127.42242524684075 36.409197078813555, 127.42235373637953 36.409028531527575, 127.42201990642188 36.40835811205879, 127.4218285482783 36.40787389422507)"
10202002,935,"LINESTRING (127.42248385909312 36.40852405142875, 127.42275756665973 36.40887674483585, 127.42351502029634 36.41002878852673, 127.4236749432208 36.41025133362532, 127.42377031879184 36.410367904797496, 127.42387243795187 36.41047773210895, 127.42398322743173 36.41057792533947, 127.42409016312996 36.41064921650717, 127.4242221467555 36.4107291781497, 127.42436183729542 36.41079661550847, 127.42451019812844 36.41085152857768, 127.42492348880012 36.41098062207072, 127.42506703265948 36.411026864543075, 127.42528041998415 36.41110177863425, 127.42541422314295 36.41116199050687, 127.42555003347664 36.41123692102232, 127.42566309742956 36.41131854197256, 127.4257667952744 36.41140819133653, 127.4258604578932 36.41149449561212, 127.42596746576329 36.41161490962106, 127.42604646394066 36.411736297906195, 127.42610715797534 36.411863466718906, 127.42614665758877 36.411981001630764, 127.42618230387404 36.412118768026104, 127.4261967559248 36.41226713198082, 127.42619001367882 36.412419349674856, 127.42617074716233 36.41253399473251, 127.42613510344736 36.41267465176643, 127.42608500914909 36.41282590631907, 127.4260281711907 36.41297619750956, 127.42597711334172 36.413108826279256, 127.42589924177567 36.41327661941546, 127.42583020099613 36.413424341605314, 127.42576517405011 36.413545570192056, 127.42566525203117 36.413699675947136, 127.42555482709018 36.413849616011596, 127.42544895226803 36.413987458791475, 127.42532909388444 36.41413329250447, 127.42507938864034 36.41440698058102, 127.42478572849565 36.414683831385005, 127.4241858685016 36.41516315679352)"
10202012,51,"LINESTRING (127.42061995689009 36.40534593996072, 127.42086567318368 36.4057634603253)"
10202021,1951,"MULTILINESTRING ((127.41897203053253 36.403189750679715, 127.41842688074561 36.40235256794566, 127.41834209771032 36.40220739884379, 127.41825570085747 36.402039073267424, 127.41817973110624 36.40187968529715, 127.41811418837426 36.40172029726414, 127.4179653386529 36.40133259926687, 127.41781676318097 36.40097305201091, 127.41770711141746 36.40069581942498, 127.4173253251023 36.39977780727651, 127.41691671733987 36.39876875520277, 127.41677371459858 36.39837549863611, 127.41665394946146 36.398009054936175, 127.4164841329703 36.39746207062802, 127.4163116556784 36.39688724715313, 127.41620562375573 36.39653898214809, 127.4160952815086 36.39616744199003, 127.41588276940888 36.395470498202364, 127.41582194317682 36.39525822893516, 127.41572635918615 36.394934239017616, 127.41566429168816 36.39472693512953, 127.41561587873426 36.39453204458822, 127.41557615521438 36.39436446353807, 127.41554512061437 36.39416833154942, 127.41552774064985 36.39399454365058, 127.41551532602396 36.39383068646496, 127.41550663533351 36.39366682925699, 127.41549982892754 36.39345127592619, 127.4154912458617 36.3931123595794, 127.41548909917746 36.3929278861097, 127.41547837183556 36.39266619123386, 127.41544619369824 36.39230367958388, 127.41535395247743 36.391565786209185, 127.41526385687551 36.390896534117935, 127.41507327931933 36.389574196454745, 127.41502263026322 36.3891898770057, 127.41500028514386 36.38902601988083, 127.41496900152472 36.38874746272834), (127.4218285482783 36.40787389422507, 127.42066737943267 36.40584598913955, 127.42043005339002 36.4054360600304))"
10202031,347,"MULTILINESTRING ((127.4146191241961 36.38004133152788, 127.41454696285597 36.379548076830176, 127.4144134810449 36.378710767049164, 127.41425329381676 36.377745362569684), (127.41496900152472 36.38874746272834, 127.41494665507656 36.388439113293316, 127.41491685882619 36.387920728689465))"
10202032,1281,"LINESTRING (127.41430827993884 36.377216728800875, 127.4143350040166 36.37736844832232, 127.41460068807477 36.3789630448607, 127.41470413650194 36.379591991286084, 127.41476930920108 36.380008875203856, 127.41479148216791 36.38017030260602, 127.41488338192094 36.3809814119247, 127.41492557299358 36.38132553551807, 127.4149541780085 36.381890396000955, 127.41499212238068 36.38296574626645, 127.41508151655839 36.38578167431907, 127.41511380015018 36.38681323004812, 127.41513614956132 36.387443832091336, 127.41515353293799 36.387988781506856, 127.41516346565852 36.38823084330698, 127.41517230001102 36.388393895938805, 127.41519097921743 36.38861802717832, 127.41520175562324 36.38874086833525)"
10202041,323,"LINESTRING (127.41425329381676 36.377745362569684, 127.41388199852061 36.376249816130795, 127.41373299974487 36.37579384996977, 127.41363021173292 36.37554387891529, 127.41346330206002 36.37523913105527, 127.41326721840007 36.374959975689066)"
10202042,49,"MULTILINESTRING ((127.4133323247977 36.374461292144446, 127.41345301021707 36.374548369899294, 127.41343838004613 36.37447524242782, 127.41343649506703 36.37444673212091, 127.41344215180249 36.374415138938076, 127.41345252368339 36.37438354665455, 127.41347043727889 36.37435233928087), (127.41356615302256 36.37466280503017, 127.4136209597307 36.37476410189409))"
10202051,241,"LINESTRING (127.40942803661532 36.37267406681731, 127.4092035654907 36.37261096656932, 127.40689329816244 36.371937871599755)"
