TLINKIDP1,LENGTH,geometry
10480942,1305,"MULTILINESTRING ((127.41900270438471 36.423539640715404, 127.419006556521 36.42339031324429, 127.41901329811749 36.423167767136164, 127.41902774643286 36.422911501880556, 127.41903545179068 36.42273038209102, 127.41905568080561 36.42252036013936, 127.41907555501567 36.42227984610315, 127.41910551812272 36.422082072411904, 127.41914946401678 36.42179240387398, 127.41924181502357 36.42137255542199, 127.41932325382244 36.421055247014905), (127.41916327580785 36.425884203406454, 127.41911666026117 36.42551296216326, 127.41906985791114 36.425109952518326, 127.4190516057791 36.42490586073546, 127.41902944553206 36.42463129104499, 127.41902315782127 36.424499271450934), (127.42182144556975 36.43603884269813, 127.42168515788211 36.43525142098224, 127.4215938640332 36.43479538790089, 127.4214970362385 36.434337468757874, 127.4213509883875 36.43375072157145, 127.42113657010684 36.43299338983828, 127.42002769580371 36.42930046592306, 127.41974960115922 36.42834296257746))"
10480951,69,"MULTILINESTRING ((127.42353738864766 36.43640652197136, 127.42424088804604 36.436359496032445), (127.42512618080711 36.43628642051209, 127.4252037711049 36.43628034859293))"
10480952,118,"MULTILINESTRING ((127.42513681936558 36.43646725202948, 127.42503151432794 36.43648108096287, 127.42425987236871 36.436558095006085), (127.42565441139487 36.43634744709562, 127.42522910932529 36.43644505866381))"
10480961,546,"LINESTRING (127.45031157095332 36.3637482854305, 127.45044012781608 36.363488702632395, 127.45048831430628 36.36341118185478, 127.45056583171367 36.36328756763776, 127.45066430002166 36.363157667849585, 127.45077114855853 36.363011006824514, 127.45105648609506 36.36252683476991, 127.45119266475734 36.36224817922541, 127.45134979387606 36.36191504969906, 127.45203978832868 36.36038860749609, 127.45209192180668 36.36023341101214, 127.45212223151492 36.36009397677073, 127.45213556702232 36.359949692751364, 127.4521282909874 36.35979813403579, 127.45212065775802 36.35973406808804, 127.45209772441507 36.359607113781315, 127.45206453687366 36.359474365385715, 127.4520132475653 36.35932653203155, 127.45194208174522 36.359133661478864)"
10480972,521,"LINESTRING (127.45031157095332 36.3637482854305, 127.45034594659562 36.36371593058703, 127.45296655187859 36.36068080178256, 127.45360962108722 36.359923156249316)"
10480981,981,"MULTILINESTRING ((127.45309290842255 36.36073480607048, 127.45291733102874 36.36095300635947), (127.45938037487015 36.35363078147212, 127.45917261968061 36.35381057680427, 127.45855742507864 36.35439473547358, 127.45821223233203 36.354746846280634, 127.45780560585595 36.35517436542388, 127.45698334742103 36.35613802836331, 127.45497564566134 36.358535645601066, 127.45401901171871 36.359665819208), (127.46420266234549 36.349932376432605, 127.46314918827423 36.35072000447869))"
10480982,1053,"LINESTRING (127.45535452041433 36.35778060688635, 127.45765823035741 36.35509860114015, 127.45852444564281 36.35409969088935, 127.45909551243221 36.35351865691394, 127.46045992334317 36.352279569226255, 127.46279366850236 36.35050271304698)"
10481011,4856,"MULTILINESTRING ((127.42036606266274 36.3984776147342, 127.42032468706263 36.39817162552135, 127.42027855918349 36.39770898035554, 127.42026098764886 36.397489714252195, 127.42025339578697 36.397159676400804, 127.42025339182176 36.39672917852659, 127.42026863395564 36.39648570439185, 127.42028972692975 36.39621761265247, 127.4203302565229 36.39586119371444, 127.42037078675979 36.39557466079499), (127.42052871838439 36.39483386804985, 127.42069503771745 36.39426639258039, 127.42080125897377 36.39395889346088, 127.42094242181086 36.39359129215561, 127.42120657900385 36.39301123661529, 127.42133935677118 36.39275685071038, 127.42146235103695 36.392534612432755, 127.42158534539276 36.392322158197736, 127.42172650949098 36.39209153348876, 127.42192707997818 36.39177080018623, 127.42245944536566 36.39096969076367, 127.4227270755035 36.39057708375056, 127.42338324712026 36.3896272027569, 127.42433321319089 36.38824647296684, 127.4249146984115 36.38739992616022, 127.42598261253603 36.38584794196819, 127.42648013716784 36.385128191268905, 127.42673372950608 36.38472725645773, 127.42697041546445 36.38432873700931, 127.4270694369859 36.38414517659636, 127.42725540378274 36.38375148797506, 127.42736167039348 36.38351237652148, 127.42753556067743 36.38306313697612, 127.4276683932015 36.38268394023975, 127.42781813137147 36.38222262453663, 127.42813181991657 36.38123446265634, 127.4284025930945 36.38040392968288, 127.42858597657006 36.379823669973256, 127.42895723591411 36.37866876922149, 127.4291279202927 36.37812544432519, 127.4296998886532 36.37635011445709, 127.43003398192671 36.37532563935883, 127.43027147095027 36.37470974644752, 127.43044656922694 36.37430317650729, 127.43062569322629 36.373938873605525, 127.43074713688969 36.37371258857798, 127.43101010656086 36.37328272546653, 127.43123898016313 36.37294081445823, 127.43139250822844 36.37273526407213, 127.43179727934933 36.37223924819607, 127.43232621471462 36.371656482260946, 127.4328475203324 36.371145934058966, 127.43356954888773 36.3704710648288, 127.43412910336451 36.369955625843836, 127.4344998764956 36.36965373501171, 127.43494620240399 36.369317528037605, 127.43544179858334 36.369001608956914, 127.43573788940132 36.36883216320595, 127.43618374446508 36.36860743394743, 127.43671991688757 36.368387158945836, 127.43728031175534 36.36819175588415, 127.43782993976198 36.3680451513516, 127.43831394492581 36.367940809176574, 127.43909936681007 36.36780748205869, 127.4410875571476 36.367537926995944, 127.44246228734622 36.36734638854536, 127.4429630903891 36.36727423936835, 127.44404817990137 36.36709796236324, 127.44485142173436 36.36690627407327, 127.44547066019047 36.36673055027835, 127.44589692053214 36.36658697401085, 127.44632803381342 36.36642883812763, 127.44654884784087 36.366337839382126, 127.44718838159808 36.36604883522695, 127.4478013025511 36.36572778089488, 127.44799706979207 36.36561237018096, 127.44837384110541 36.365377898049324, 127.44855411014841 36.3652600964281, 127.44890208122236 36.365008592757704, 127.44905608931897 36.36488792543912))"
10481012,3922,"MULTILINESTRING ((127.42067633568679 36.394857546386085, 127.42059831287555 36.39520586528161, 127.42052007469663 36.39559541962096), (127.4489327103796 36.365194885443636, 127.44855823978104 36.36544262114758, 127.44814619555301 36.365705255063375, 127.44800483476114 36.36578688942036, 127.44769025952796 36.36596198112136, 127.44747346582716 36.36607580310096, 127.44692025224752 36.3663456183906, 127.44640936417287 36.36656310039263, 127.44581217706623 36.36677713086816, 127.44523915332924 36.36695318868747, 127.44463506182471 36.367115438508165, 127.4439860946172 36.36725352427412, 127.44296086389642 36.36740542049188, 127.44086501020907 36.36770472113938, 127.43928000219643 36.367913321534886, 127.4389608271967 36.367959874726886, 127.43869447261525 36.36799872073139, 127.43833655880437 36.36806808788785, 127.4380743661464 36.36812080686757, 127.43773726139155 36.36819849769888, 127.43747506893776 36.36827341347912, 127.43711302921768 36.36838332422634, 127.43652016403408 36.368605526818044, 127.43594852189523 36.36887064742461, 127.43567344147625 36.36902015379824, 127.43536595501608 36.369201730684516, 127.43511635529397 36.36936386250189, 127.43488807989424 36.369520124912924, 127.43465435508892 36.36969992040487, 127.43438467269752 36.36991567493033, 127.43402909177527 36.370233313287976, 127.43380735319933 36.37044107667684, 127.4335756264049 36.370658828686224, 127.43336587365398 36.370850610306576, 127.43319096497592 36.37102927315425, 127.43296035178638 36.37123417346333, 127.4327785662305 36.37141796406729, 127.43258079937809 36.37160175476749, 127.43243497153688 36.37176357032244, 127.43225518355098 36.37193737235421, 127.43196153022468 36.37226300118845, 127.43179173078788 36.37246277341716, 127.4316439055234 36.37265055924131, 127.43145412976 36.37288229498349, 127.43123438989284 36.373203927949376, 127.43110454373381 36.373407695362175, 127.43096071421607 36.3736414285403, 127.43082887072583 36.37388115478263, 127.43069902498952 36.37413086957341, 127.43062711049717 36.374276702987736, 127.430493269786 36.3745643743322, 127.43040936994629 36.374778130029405, 127.4302515583198 36.37517767339484, 127.43012171381518 36.375561234895606, 127.42990525311191 36.37620869468394, 127.42800432278395 36.38214697061658, 127.4277953173364 36.38279987830522, 127.42770962541476 36.38303631505002, 127.42762689879835 36.38327070502208, 127.42736601257002 36.38388419218885, 127.42724930483391 36.38410115910354, 127.42711012432014 36.38437456202585, 127.42681216919652 36.38488767022728, 127.42634959950134 36.38557256482996, 127.42508702732417 36.38739193903514, 127.42366005163092 36.389480424279576))"
10481021,331,"MULTILINESTRING ((127.44990891078199 36.35673479550452, 127.45024467675093 36.35706468344542, 127.45092149283595 36.35772479837823, 127.45108652000837 36.35789118878028), (127.45116883285793 36.35797650567497, 127.45138194956996 36.358213698083716, 127.45152453396916 36.35837519823825, 127.45227752017217 36.35917435653822))"
10481022,137,"LINESTRING (127.45194208174522 36.359133661478864, 127.4509581359805 36.358178956160316)"
10481031,681,"MULTILINESTRING ((127.42231619290696 36.41666662794175, 127.42225234728276 36.416734569190204, 127.42185863322447 36.41715145228246, 127.4216626457533 36.41737545492456), (127.42377627044092 36.40754668576555, 127.42413994770142 36.40840245214155, 127.42451623185282 36.409432827327464, 127.42468125291285 36.409991208096244, 127.42473213998188 36.41020671601122, 127.4247689196348 36.410383218702776, 127.4248449436569 36.41076938538603, 127.42487257795057 36.41117280165292, 127.42488507136741 36.41159176642864, 127.42488257402333 36.411998411756, 127.42482781748816 36.41239331033012, 127.42477184529606 36.41268091578102))"
10481032,606,"LINESTRING (127.42201609438425 36.41666662793787, 127.42208646704839 36.41659542961096, 127.42238574717932 36.41626636994718, 127.42268970605971 36.41593216598022, 127.42292848135371 36.415653470216014, 127.42306998091345 36.41548976794604, 127.42324338709072 36.41527334807835, 127.42350115616031 36.4149437430998, 127.423754744823 36.41456975874805, 127.42386711161707 36.4143852471519, 127.42398502722936 36.414174376819695, 127.42408810011902 36.413966351726565, 127.42419395706312 36.41375270776325, 127.42425509471808 36.41359600421421, 127.42433555417743 36.413386521408235, 127.42441323883705 36.41314790531617, 127.42447105839072 36.412967195251674, 127.4245150050776 36.41276342834261, 127.42456264330444 36.41254451875289, 127.42460240238267 36.41228562300345, 127.42462437484112 36.41208784936364, 127.4246483443533 36.41182415120943, 127.4246483436529 36.411748263277964)"
10481042,55,"LINESTRING (127.33318046122949 36.36278246256778, 127.33313074896651 36.362570899599355, 127.33308259956995 36.36234619426553, 127.33306859053103 36.36229156190141)"
10481052,345,"LINESTRING (127.33269484661218 36.358805251501224, 127.33292155990469 36.35945251077151, 127.33300423512985 36.35969426464939, 127.33306831924699 36.35989639859204, 127.33315083744006 36.36025770301562, 127.33325740620273 36.36084299438228, 127.33330212499148 36.3611774720297, 127.33331430529233 36.36145625834507, 127.33332125327975 36.36162796407487, 127.33332572013457 36.36186017514748)"
10481061,946,"LINESTRING (127.33268212038092 36.35923443465186, 127.33260448941162 36.35905327837238, 127.33251100345805 36.35882701269416, 127.33240597862458 36.358589975044964, 127.33230191635099 36.35835728734873, 127.33185633199197 36.35750489418473, 127.33148020514331 36.35679192560366, 127.33120882308361 36.356272477361024, 127.33099362169696 36.355864099721686, 127.33074407414487 36.35539407249935, 127.33030405424672 36.354566041186835, 127.32882349259734 36.351757203862356, 127.32860848423847 36.3513516333859)"
10481062,332,"LINESTRING (127.33088565244988 36.35532758946541, 127.33111818448008 36.355775624724934, 127.33134570567455 36.356204486467455, 127.33168898447282 36.356848292090554, 127.33234900438353 36.358088927137445)"
10481071,412,"LINESTRING (127.33334767636752 36.367231721008594, 127.3333174400088 36.36633776211223, 127.3333024074057 36.36590885525359, 127.33327334085315 36.36488996448593, 127.33325546019014 36.36425680545169, 127.33323764788359 36.363779386965824, 127.33322302483994 36.363567360118324, 127.33321986806915 36.36351805108215, 127.33321955683327 36.36350078552136)"
10481072,188,"LINESTRING (127.33332572013457 36.36186017514748, 127.33336554461802 36.36268320312224, 127.33338868914787 36.36356049562049)"
10481081,118,"LINESTRING (127.33065744059707 36.36148671077418, 127.33027880557069 36.36151070066469, 127.32933251255135 36.36153091739577)"
10481082,269,"MULTILINESTRING ((127.329016931945 36.361533208693984, 127.3293458265478 36.36128079685434), (127.32935277184306 36.361024886525264, 127.32945192766341 36.36110569581191, 127.3295944282286 36.36118257181884, 127.32977817855144 36.36123694703885, 127.33017380342253 36.36126319532393, 127.3302788032911 36.36125944461053), (127.33064485845914 36.3612405926491, 127.33108675904597 36.36122429834781, 127.33159199002449 36.36122651862857, 127.33184502730386 36.36123484092737, 127.33205644659182 36.3612398339529, 127.33219159663334 36.36123697697692))"
10481092,577,"LINESTRING (127.32088594667243 36.29047648780831, 127.31948750929642 36.29113797177142, 127.31921622913062 36.2912638573782, 127.31904289200426 36.291358981366905, 127.31887250929691 36.291454417325724, 127.31875250929703 36.2915318596977, 127.31854826219073 36.291687965954814, 127.31826797319239 36.29195223083324, 127.31806862040945 36.29218789450433, 127.31792338716592 36.29239851219477, 127.31782941071226 36.29258592281146, 127.31691644263304 36.29430495302303)"
10481102,310,"LINESTRING (127.31805148981194 36.2916594733419, 127.3178614171626 36.292091184501764, 127.317631852242 36.292637410480125, 127.31709553948755 36.29388578128616, 127.31691644263304 36.29430495302303)"
10481111,3435,"MULTILINESTRING ((127.30888201362562 36.313392880026626, 127.30886395428307 36.31322761196928, 127.30883286027529 36.312859423821344, 127.30883159043908 36.312556839721594, 127.30884363032342 36.312295918064045, 127.30885433297692 36.312123308336034, 127.30889697383938 36.31175598626966, 127.30898688716594 36.31120848256204, 127.30926876831477 36.30987307928279, 127.30960323419407 36.30829962612457, 127.30990836988356 36.30685024453923, 127.31018219736438 36.30556155620991, 127.3103577019451 36.30473084445219, 127.3106332027396 36.30344672735705, 127.3107146547266 36.30315634438204, 127.31079113843094 36.30288840290939, 127.31087193895377 36.30266778769037, 127.31096832404991 36.30240245958555, 127.31107034052476 36.302179623574474, 127.31128108560291 36.301776907736546, 127.31160067038294 36.30128985007671, 127.3118730539474 36.3009647631469, 127.31230797073937 36.300509693091286, 127.31269859102377 36.30016469861959, 127.31298987839496 36.299916356236174, 127.31379125467171 36.29928006245405, 127.31404965286747 36.29905887134686, 127.31431208180867 36.29883036142111, 127.31451215350177 36.29862553842398, 127.3147765299858 36.29834441640738, 127.3149872762581 36.298074596387735, 127.31512822104119 36.297874580642414, 127.31538192101286 36.297443674532715, 127.31553137628 36.29714413188622, 127.31561011596614 36.296968469968526, 127.31567559360668 36.29681578990827), (127.31404018281886 36.32687417067761, 127.31379629256637 36.3264795267161, 127.31343381246255 36.32585584324988, 127.31330091782232 36.32561824241531, 127.31320158218413 36.32541285855133, 127.31302170414958 36.32504236217338, 127.31286733107486 36.32470945234174, 127.31270758798911 36.32430808105847, 127.31237333513809 36.323411371837736, 127.31216660844129 36.32285294213533, 127.31207129940165 36.32259789011315, 127.31181758932387 36.321907907250186, 127.31167663913041 36.321507878239125, 127.31128748279224 36.32045142588432, 127.31053229037079 36.31839782747916, 127.3104248998342 36.31810250406886, 127.30991883554498 36.31672717142391, 127.30975663108579 36.31628064391885, 127.3095826621559 36.31580320440867, 127.3092637452498 36.31492143433429, 127.3091539364357 36.314617646831024, 127.30912848668629 36.31452912667258))"
10481112,50,"LINESTRING (127.31392679800017 36.32640572600728, 127.31418336606853 36.32680928803371)"
10481121,1374,"MULTILINESTRING ((127.31056177009124 36.27209955239842, 127.31114345643266 36.272327753906204, 127.31139067318101 36.27243066840045, 127.31184819219794 36.27264768412198, 127.31247865157046 36.272991777648976, 127.31281312189677 36.27319872622939, 127.31302566160362 36.27333408182393, 127.31349718862838 36.27367586854851, 127.31376519409787 36.27388626151655, 127.31399872570121 36.27408988788092, 127.31425377391619 36.274315406545, 127.31461889599933 36.274685901810145, 127.31488199882313 36.27496914284991, 127.31522161672171 36.27538796401475, 127.31546861179943 36.275719530898975, 127.31572226149648 36.27612527636466, 127.31578060220406 36.276221754861766, 127.31596802364908 36.276554450546264, 127.3161734018483 36.27692644172322, 127.31630094382578 36.2771823223466, 127.31646771408975 36.27753520398446, 127.31681331684489 36.278324174504576, 127.317669277527 36.280308999243516, 127.317833364627 36.28064732517692), (127.31904595288852 36.28314676866701, 127.31918824560647 36.28356827576011, 127.31928758242813 36.2839065554257, 127.31941235781936 36.28438898031707, 127.31947994459374 36.28475176485535))"
10481122,2488,"LINESTRING (127.31766470870505 36.292167683989355, 127.31790218018203 36.291614547307816, 127.31816314892549 36.29101067938695, 127.31868254657545 36.28978663279252, 127.31900061402793 36.289025479465906, 127.31914332803856 36.28861139107936, 127.31924493309259 36.28824876091035, 127.31931857294924 36.287929944761856, 127.31938848389274 36.28759248444168, 127.31941451202583 36.287395379277356, 127.31944858889221 36.28711322555177, 127.3194663215668 36.28689664678772, 127.31947936873046 36.286513508528365, 127.3194800912676 36.286364397919236, 127.31947204600223 36.28609817957091, 127.31944265951827 36.2856499043682, 127.31940385780456 36.28536255440673, 127.31933002491355 36.284947758819094, 127.31924006555018 36.28457207884515, 127.31909025872426 36.28407435433181, 127.31893051538053 36.28364210828564, 127.31875197924423 36.283219259023966, 127.31844661538291 36.28250156973892, 127.31802422775633 36.28152698503625, 127.31751913999925 36.28035460382531, 127.31650351428654 36.27800727475524, 127.31630877662978 36.27757044244595, 127.31615786829012 36.27724727731231, 127.31601881472147 36.27697616048268, 127.31562835636669 36.27628869989936, 127.31548875027943 36.27608197390293, 127.31519745701816 36.275673891509, 127.31498804832168 36.27541212826409, 127.31473524784107 36.27512727029774, 127.31445111478425 36.274831947944215, 127.31423074407866 36.274626117344404, 127.31395837943894 36.274386056311165, 127.31359258686676 36.274091853089615, 127.31334089493048 36.27391175166101, 127.31287767002857 36.27359405732865, 127.31224083429579 36.273227143346446, 127.31184036522474 36.27302578841203, 127.31158979247478 36.27290833146667, 127.31116471388455 36.27272934970896, 127.31068318451936 36.27255201087101, 127.3104081498809 36.2724607854137)"
10482221,2314,"LINESTRING (127.38951700925807 36.40926007603945, 127.39048920375406 36.40907915041536, 127.39086435600393 36.40899011903362, 127.39120949227667 36.40890616437026, 127.39189965169308 36.40872553604289, 127.40004411688685 36.406562697375456, 127.4003950941139 36.40646280965734, 127.40072664958699 36.406358760155456, 127.40110814633354 36.40622418975057, 127.40138715106225 36.40611720359605, 127.40164640332961 36.40600915499608, 127.40198073288637 36.40585654997275, 127.40221379241369 36.405741402661455, 127.40264522982051 36.405509720947116, 127.40315712796907 36.40520728644267, 127.40432658616116 36.40449698174879, 127.40509790151974 36.40404055537136, 127.40555985863553 36.403795000472556, 127.40580124160078 36.403663205509794, 127.40617718888743 36.40348562883412, 127.40653094017017 36.40333441099423, 127.40692769662873 36.40317764369532, 127.40726618837478 36.403068044950835, 127.40745208142606 36.40301255182844, 127.40814293782682 36.40282110025837, 127.40889760889438 36.40267959110882, 127.40948164693197 36.40260467339074, 127.41064972304467 36.40245899985435, 127.41184917913242 36.40231693310866, 127.41343950087202 36.40212946154035)"
10482222,2318,"LINESTRING (127.41692734804052 36.40195712886716, 127.414633511666 36.40223296287815, 127.41278398148363 36.40244890716181, 127.41145289924489 36.40260386394546, 127.40954685451294 36.40283319971609, 127.40895979387874 36.40291229419308, 127.40866713906622 36.40295648996141, 127.40841769506426 36.40299773920266, 127.40778826625743 36.40313412545542, 127.40759669082765 36.40318041270819, 127.40729421574936 36.403265856276946, 127.40703102322368 36.40334835334228, 127.40676881278948 36.40343379666893, 127.40637402419044 36.40357816613768, 127.40599907344941 36.40373942741944, 127.40572021949409 36.40387488891403, 127.4055452634912 36.40395688413457, 127.40527218613875 36.40410250628254, 127.40461035674521 36.40448434649765, 127.40414368236257 36.40477426200132, 127.40305948915936 36.40542696492578, 127.40267746808327 36.4056459730886, 127.40249676914564 36.40574712935078, 127.40226794920095 36.405864981416656, 127.40208725016383 36.40595533469884, 127.4019045869525 36.406040777547354, 127.40147117082964 36.406223121359545, 127.40128948954415 36.40629350550274, 127.40110551677175 36.406363562296654, 127.40090075698093 36.40643509234907, 127.40073135138117 36.406492381897245, 127.40007203738607 36.40669378592666, 127.39430430501393 36.40821763022041, 127.39402500655034 36.408291877832966, 127.39333913445252 36.40848280007109, 127.3928041070187 36.40862540261986)"
10482671,219,"LINESTRING (127.38284690698858 36.41041337912704, 127.38263603173466 36.411008557646184, 127.3824812039114 36.411490661965615, 127.38220295661276 36.41232147414214)"
10482672,342,"MULTILINESTRING ((127.37985818409037 36.413912422296164, 127.37995131203867 36.41386913677224), (127.37989586015743 36.413538909233985, 127.37991188872908 36.413615181607476, 127.37993168872922 36.41366564464247, 127.37997223158648 36.413718804175524, 127.38002974587233 36.413761948144405, 127.38007821726465 36.41377425825824, 127.3801480694688 36.41376538237278), (127.38205204967907 36.41229283080972, 127.38264893879087 36.41048699226565, 127.3827908491654 36.4100602588378, 127.38283711490425 36.409910657819374, 127.3828833803175 36.40972558446034))"
10500311,211,"MULTILINESTRING ((127.32268451859215 36.290678488246, 127.32290439850969 36.290692089579615), (127.32274178682746 36.2908264936723, 127.3229324501346 36.29076118187373, 127.32290439850969 36.290692089579615), (127.32286590459077 36.29059727749022, 127.32290439850969 36.290692089579615), (127.32300059401636 36.29092902302852, 127.32350508558947 36.292199932495016, 127.3235273647815 36.29226491533032))"
10500312,205,"MULTILINESTRING ((127.32322578038512 36.292077338442645, 127.32274178682746 36.2908264936723), (127.3235734098635 36.29239921732731, 127.32333900833534 36.29238461464325), (127.32338212401741 36.29249560205299, 127.32333900833534 36.29238461464325), (127.32333900833534 36.29238461464325, 127.32331530435239 36.292320287153416, 127.3235273647815 36.29226491533032))"
10500321,145,"MULTILINESTRING ((127.32342446062546 36.292603221693334, 127.32362780503254 36.29255196392753, 127.3235734098635 36.29239921732731), (127.3237521897915 36.29234620210207, 127.32366964858629 36.29240299600337, 127.32365487533558 36.29242515682001, 127.3236468733493 36.29245839796147, 127.32364133371561 36.29250395060479, 127.3236413875246 36.29254597383165, 127.32364753841057 36.29260737705439, 127.32394109324034 36.293262729198716))"
10500322,38,"LINESTRING (127.32570799067894 36.29592499720011, 127.32558652679127 36.29579893710937, 127.32576664054457 36.29566990740181)"
10500331,321,"LINESTRING (127.32394109324034 36.293262729198716, 127.3241138741339 36.29369100537444, 127.32418004528787 36.29382702435076, 127.32436017720438 36.29412295731565, 127.32454699721585 36.29437692030137, 127.32478594678126 36.294665500521084, 127.32545027177292 36.2953559881589, 127.32576664054457 36.29566990740181, 127.32581788589768 36.295720811966014)"
10511201,360,"MULTILINESTRING ((127.3447442816132 36.53669306969272, 127.34540981243329 36.5369223994345), (127.34676260559192 36.53729913414668, 127.34705948078732 36.537367282971616, 127.34853297586683 36.53762971413428, 127.34887743419073 36.53767593568962), (127.35555898678066 36.53770882300387, 127.35660178664698 36.5376791552706, 127.35671157767973 36.537675435804246))"
10511202,726,"MULTILINESTRING ((127.34676260559192 36.53729913414668, 127.34630766016053 36.537182914760464, 127.34611556227692 36.537132637262935, 127.34601465116201 36.53710332803838, 127.34576777106545 36.53703162271437, 127.34540981243329 36.5369223994345), (127.35555898678066 36.53770882300387, 127.35134288326739 36.53781248695031, 127.34987971780131 36.53776976015922, 127.34887743419073 36.53767593568962))"
10511211,24,"LINESTRING (127.34449920825982 36.53660324770772, 127.3447442816132 36.53669306969272)"
10511212,297,"LINESTRING (127.34449920825982 36.53660324770772, 127.34362139784614 36.536241758067206, 127.34295001078264 36.535925908076216, 127.34160712784823 36.53528536859779)"
10511221,802,"LINESTRING (127.32547988211336 36.52647372756784, 127.32596130062018 36.52682652731958, 127.32681980046168 36.52741544486736, 127.32839236898293 36.52834557041322, 127.32899248428737 36.52869101034506, 127.33261652390163 36.53083451354882)"
10511222,943,"LINESTRING (127.34160712784823 36.53528536859779, 127.33667377687459 36.532925723795536, 127.33535656812897 36.53229957724936, 127.33475379574367 36.53199183307609, 127.33364060953349 36.53142349819704, 127.33261652390163 36.53083451354882)"
10511231,1163,"LINESTRING (127.31802189422777 36.51790510811271, 127.31830684232588 36.51823411189499, 127.31960358163994 36.51990463474113, 127.32195813126208 36.523002418481944, 127.32248901543522 36.5236424198935, 127.32293322723609 36.52417793440588, 127.32315684457096 36.52441061271307, 127.3235414935944 36.52479921896706, 127.3237896378457 36.52504457750623, 127.32415488369563 36.52538584880826, 127.3247944956741 36.52593542336761, 127.32503045068334 36.526123968305576, 127.32534008829181 36.52636839708155, 127.32547988211336 36.52647372756784)"
10514321,352,"LINESTRING (127.2382881810079 36.49693904038462, 127.2373101641658 36.49696176095086, 127.236497196437 36.49697238044648, 127.23600652075177 36.496955978841726, 127.23562198915468 36.49693089186817, 127.23512069872828 36.49687878639351, 127.23436900398356 36.496762994305016)"
10514331,566,"MULTILINESTRING ((127.22413351848645 36.49577325574193, 127.22399527373642 36.495762483978545), (127.22798749202703 36.49600328226098, 127.22745748668079 36.495972083554015), (127.23134069786187 36.49623601785394, 127.23104059907273 36.496205140552576, 127.23071269679647 36.49617117112309, 127.2300596202177 36.49611976132339, 127.22861104115107 36.496046123292636), (127.23436900398356 36.496762994305016, 127.23150502851617 36.49625635847353))"
10514332,386,"MULTILINESTRING ((127.22378085317091 36.49573068048453, 127.22399527373642 36.495762483978545), (127.22413351848645 36.49577325574193, 127.22453133594536 36.495808273253715, 127.2266198449163 36.49592555280449, 127.22745748668079 36.495972083554015), (127.22798749202703 36.49600328226098, 127.22847147754358 36.49603399764722, 127.22861104115107 36.496046123292636), (127.23134069786187 36.49623601785394, 127.23150502851617 36.49625635847353))"
10514351,366,"LINESTRING (127.2419324028425 36.49303503260346, 127.2419258188369 36.492566735535775, 127.24195707934355 36.492151257378325, 127.24200362510261 36.49178997190957, 127.24208420300121 36.491404232614386, 127.24215818842525 36.49111574629553, 127.24225624600197 36.49080152317897, 127.24239186745453 36.49046316849411, 127.24251666288983 36.490174833992725, 127.24269783296033 36.48981883109679)"
10514362,2003,"LINESTRING (127.24915384797947 36.47293282647968, 127.248719464627 36.4738243444178, 127.2485645977649 36.4742517512643, 127.24839532593514 36.47485684380783, 127.24832569774708 36.475255436267496, 127.24828681591951 36.4770111624349, 127.24830742926747 36.477444411059786, 127.24831443526453 36.477752559489865, 127.24830643631464 36.47827080923972, 127.24826142223702 36.47898515369139, 127.2481983991706 36.47961545775796, 127.24805734202164 36.48041784520062, 127.24800131881061 36.480679971830746, 127.24789427434642 36.48116820770768, 127.24770319309397 36.48183252892467, 127.24757213704403 36.4822527321648, 127.24730413227194 36.48297291408678, 127.24707972923248 36.48352595966507, 127.24676222913338 36.48419156002703, 127.24642805442254 36.48482103196959, 127.24575067179644 36.48593685139275, 127.24514032303705 36.48679841457882, 127.24454965972103 36.48751396285017, 127.24423151766477 36.48787413827821, 127.24375528837793 36.48839339816829, 127.24330868910707 36.488914932105544, 127.24312370324955 36.489150763637525, 127.24269783296033 36.48981883109679)"
10514372,942,"LINESTRING (127.25723960296963 36.46784114472958, 127.25544143465316 36.468485442411136, 127.25461476795175 36.46882458663972, 127.25356966315321 36.469253608157864, 127.2522817746238 36.46987867119474, 127.25193909441862 36.470089840223814, 127.25152610832633 36.47037077802524, 127.25103028548534 36.47077177416188, 127.25060049254333 36.471143956025074, 127.25008906368406 36.47166741125637, 127.25000003097334 36.47176725544981, 127.24988137092802 36.47190032470509, 127.24961965441004 36.472234087063555, 127.24934593290936 36.47262307610203, 127.24915384797947 36.47293282647968)"
10514401,276,"MULTILINESTRING ((127.25723960296963 36.46784114472958, 127.25808209781736 36.46752982816858), (127.26634362293656 36.46452724110204, 127.26657250618236 36.464446835406584, 127.26787464012845 36.463998470682824, 127.26835034056333 36.46386933995759))"
10514402,924,"MULTILINESTRING ((127.26634362293656 36.46452724110204, 127.25808209781736 36.46752982816858), (127.26964215510085 36.463702535914535, 127.26839450916773 36.46386052533522))"
10514411,134,"MULTILINESTRING ((127.26835034056333 36.46386933995759, 127.26839450916773 36.46386052533522), (127.2721715635673 36.46317042206179, 127.27262156356714 36.4630328950911, 127.27268464001388 36.46301754060338, 127.27314940205318 36.46290440514005), (127.27529156356607 36.462088899282186, 127.27564708689661 36.46188528572912))"
